x1_h1,x2_h1,x3_h1,x4_h1,x5_h1,x6_h1,x7_h1,x8_h1,x9_h1,x10_h1,x11_h1,x12_h1,x13_h1,x14_h1,x15_h1,x16_h1,x17_h1,x18_h1,x19_h1,x20_h1,x21_h1,y1_h1,y2_h1,y3_h1,y4_h1,y5_h1,y6_h1,y7_h1,y8_h1,y9_h1,y10_h1,y11_h1,y12_h1,y13_h1,y14_h1,y15_h1,y16_h1,y17_h1,y18_h1,y19_h1,y20_h1,y21_h1,z1_h1,z2_h1,z3_h1,z4_h1,z5_h1,z6_h1,z7_h1,z8_h1,z9_h1,z10_h1,z11_h1,z12_h1,z13_h1,z14_h1,z15_h1,z16_h1,z17_h1,z18_h1,z19_h1,z20_h1,z21_h1,x1_h2,x2_h2,x3_h2,x4_h2,x5_h2,x6_h2,x7_h2,x8_h2,x9_h2,x10_h2,x11_h2,x12_h2,x13_h2,x14_h2,x15_h2,x16_h2,x17_h2,x18_h2,x19_h2,x20_h2,x21_h2,y1_h2,y2_h2,y3_h2,y4_h2,y5_h2,y6_h2,y7_h2,y8_h2,y9_h2,y10_h2,y11_h2,y12_h2,y13_h2,y14_h2,y15_h2,y16_h2,y17_h2,y18_h2,y19_h2,y20_h2,y21_h2,z1_h2,z2_h2,z3_h2,z4_h2,z5_h2,z6_h2,z7_h2,z8_h2,z9_h2,z10_h2,z11_h2,z12_h2,z13_h2,z14_h2,z15_h2,z16_h2,z17_h2,z18_h2,z19_h2,z20_h2,z21_h2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6370579600334167,0.6682077050209045,-1.9059177702729357e-07,0.6217532157897949,0.5829465985298157,-0.0003153177967760712,0.5820838212966919,0.49687522649765015,-0.0055581675842404366,0.5525781512260437,0.43102774024009705,-0.01134397741407156,0.549175500869751,0.3726086914539337,-0.018860293552279472,0.5117847919464111,0.5067962408065796,-0.008031623438000679,0.466334730386734,0.5495577454566956,-0.01043429970741272,0.4823128283023834,0.5733602046966553,-0.015169952996075153,0.5030370950698853,0.5737909078598022,-0.019449003040790558,0.49982118606567383,0.5595349073410034,-0.012277874164283276,0.4626443684101105,0.5998156070709229,-0.008343745023012161,0.481606125831604,0.6202004551887512,-0.008532780222594738,0.5041337609291077,0.6192787885665894,-0.012024975381791592,0.4964759349822998,0.6185762882232666,-0.015387771651148796,0.4640274941921234,0.6472698450088501,-0.011997196823358536,0.48424458503723145,0.6625654697418213,-0.006899923551827669,0.5083585977554321,0.6610698103904724,-0.006913583725690842,0.4980331361293793,0.677096426486969,-0.018647218123078346,0.4742414355278015,0.6953638792037964,-0.01715349406003952,0.49664193391799927,0.7044671177864075,-0.009276687167584896,0.5179795622825623,0.7008458375930786,-0.00329603417776525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6488490104675293,0.6895091533660889,-2.3308433583224542e-07,0.6280803680419922,0.5948019623756409,0.00732372235506773,0.5855597257614136,0.5075842142105103,0.006483149714767933,0.5542740225791931,0.4370487332344055,0.0038061325903981924,0.5495337247848511,0.37823253870010376,-0.00026176657411269844,0.5175359845161438,0.5090495944023132,0.0013255258090794086,0.4674411416053772,0.5438302755355835,0.0043608625419437885,0.48007261753082275,0.5744512677192688,0.003265662584453821,0.5002713799476624,0.5796805620193481,0.0010135226184502244,0.5034567713737488,0.5606753826141357,-0.00461836950853467,0.4621414840221405,0.5987914800643921,0.004812104161828756,0.480254203081131,0.6218303442001343,0.007977208122611046,0.5035019516944885,0.6208373308181763,0.006409928668290377,0.49847057461738586,0.6204808354377747,-0.008610500022768974,0.4622272551059723,0.6484952569007874,0.0007717891712673008,0.4808553457260132,0.6671452522277832,0.008740277029573917,0.5040782690048218,0.6662540435791016,0.009653260931372643,0.4989413321018219,0.6805731654167175,-0.012374132871627808,0.47156837582588196,0.6984474658966064,-0.005327699240297079,0.4916038513183594,0.7091691493988037,0.005524526350200176,0.5118408799171448,0.7064300179481506,0.012944050133228302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6507250070571899,0.691956102848053,-2.1884838474761636e-07,0.6301984190940857,0.5971185564994812,0.008195568807423115,0.587474524974823,0.5093371868133545,0.006918527185916901,0.5552418828010559,0.44159239530563354,0.003632698440924287,0.5501502752304077,0.3818756341934204,-0.0008394967881031334,0.5206740498542786,0.5078442096710205,0.0007913907757028937,0.4683402180671692,0.5416560769081116,0.0016558223869651556,0.48326218128204346,0.5692392587661743,-0.00018795447249431163,0.5055558681488037,0.5712289214134216,-0.0022704224102199078,0.5069860816001892,0.5606669783592224,-0.006146291736513376,0.4622429609298706,0.5955139398574829,0.0011868582805618644,0.48160746693611145,0.6186665892601013,0.004905139096081257,0.5068249106407166,0.6176115870475769,0.004333530552685261,0.5011729001998901,0.6212579011917114,-0.011265465058386326,0.46302568912506104,0.646608293056488,-0.0031987137626856565,0.48245546221733093,0.6651187539100647,0.006343698129057884,0.5068688988685608,0.6633120179176331,0.008820433169603348,0.5002442598342896,0.6822603344917297,-0.01609034091234207,0.4702392816543579,0.6966573596000671,-0.008992600254714489,0.49061286449432373,0.7082620859146118,0.0031827823258936405,0.5111210346221924,0.7066328525543213,0.011765128932893276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6519258618354797,0.690424382686615,-2.0625836327781144e-07,0.6301661729812622,0.5938722491264343,0.007382135838270187,0.5879723429679871,0.5054228901863098,0.005911512300372124,0.5567461848258972,0.4376526474952698,0.0022923892829567194,0.5521194934844971,0.3787307143211365,-0.002852496225386858,0.5233992338180542,0.507185697555542,-0.00035082126851193607,0.4721683859825134,0.5386722683906555,-0.0007469762931577861,0.48506852984428406,0.5639896988868713,-0.003394033992663026,0.5049731135368347,0.5658661127090454,-0.006119982805103064,0.510195255279541,0.5614863038063049,-0.0078090946190059185,0.46366584300994873,0.5918253660202026,-0.0030096634291112423,0.48159536719322205,0.6131139397621155,-0.0007576222997158766,0.5068841576576233,0.6143037676811218,-0.001830844790674746,0.504835844039917,0.6222413778305054,-0.01356879249215126,0.4656880795955658,0.6454312205314636,-0.008362876251339912,0.48530131578445435,0.6624085903167725,-0.00023712817346677184,0.5106354355812073,0.6622834205627441,0.00198791129514575,0.5051201581954956,0.6829143166542053,-0.0190005861222744,0.47680652141571045,0.6966554522514343,-0.014606937766075134,0.49836891889572144,0.7081929445266724,-0.0038236251566559076,0.5198473334312439,0.7070885300636292,0.004088232759386301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6523275971412659,0.6899365186691284,-2.2130532784103707e-07,0.6317535638809204,0.5939351916313171,0.0086585134267807,0.5908402800559998,0.5078745484352112,0.0074629574082791805,0.5598180890083313,0.4406185746192932,0.0039833951741456985,0.5525903701782227,0.38409823179244995,-0.0008081948617473245,0.5235121250152588,0.5064426064491272,-9.737366781337187e-05,0.4718143939971924,0.5384647250175476,0.0001325150951743126,0.48624086380004883,0.5654894113540649,-0.0018807960441336036,0.5076408386230469,0.5685356259346008,-0.004005477763712406,0.5093353390693665,0.5604690313339233,-0.007781981024891138,0.4648415148258209,0.5937559008598328,-0.0018794432980939746,0.4842854142189026,0.6159704923629761,0.0011189612559974194,0.5096877217292786,0.6160681247711182,0.00028438580920919776,0.5036062598228455,0.6217390894889832,-0.013559839688241482,0.4652350842952728,0.6459875702857971,-0.007145501207560301,0.4846530556678772,0.6636170744895935,0.0017876753117889166,0.5093956589698792,0.6630645990371704,0.004307969007641077,0.5033735036849976,0.6829657554626465,-0.01888236775994301,0.4723096489906311,0.6963798999786377,-0.013295923359692097,0.49209389090538025,0.7077537178993225,-0.0015576027799397707,0.512991726398468,0.7071170806884766,0.007022541016340256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6553704738616943,0.6898068189620972,-2.3233222634644335e-07,0.6328189373016357,0.5954263806343079,0.007677929941564798,0.5929068922996521,0.509955108165741,0.00498019577935338,0.5629668235778809,0.44169801473617554,0.0007839993922971189,0.5579857230186462,0.3829163908958435,-0.004746197257190943,0.5266320109367371,0.5095108151435852,-0.007066043093800545,0.47203654050827026,0.5465536117553711,-0.005122750997543335,0.48784223198890686,0.5752260088920593,-0.0043283626437187195,0.510030210018158,0.5775527954101562,-0.004925979766994715,0.5129129886627197,0.5633082389831543,-0.013903667218983173,0.4668568968772888,0.5995669960975647,-0.006089082919061184,0.486473023891449,0.6220767498016357,-0.0010477117029950023,0.5114469528198242,0.6210393309593201,-0.0013372143730521202,0.5074754357337952,0.6239817142486572,-0.01813133992254734,0.46784886717796326,0.6491848826408386,-0.009526161476969719,0.4874061048030853,0.6668133735656738,0.0004919681814499199,0.5118944048881531,0.6658392548561096,0.002619223902001977,0.5072846412658691,0.6849152445793152,-0.021889880299568176,0.47715872526168823,0.700329601764679,-0.015425079502165318,0.4975632429122925,0.7110754251480103,-0.0036182075273245573,0.5178923606872559,0.7100387215614319,0.004513302352279425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
